"Data Log;""THURLBY THANDAR, 1908P, 553539, 1.07-1.08"";Values;Units"	nil	flux	nil
001	--	9.20E-05	V DC
002	--	1.16E-04	V DC
003	--	1.00E-04	V DC
004	--	8.80E-05	V DC
005	--	7.70E-05	V DC
006	--	8.90E-05	V DC
007	--	3.37E-04	V DC
008	--	3.26E-04	V DC
009	--	3.23E-04	V DC
010	--	3.20E-04	V DC
011	--	2.99E-04	V DC
012	--	2.80E-04	V DC
013	--	2.66E-04	V DC
014	--	2.63E-04	V DC
015	--	2.67E-04	V DC
016	--	2.65E-04	V DC
017	--	2.77E-04	V DC
018	--	2.82E-04	V DC
019	--	2.79E-04	V DC
020	--	2.75E-04	V DC
021	--	2.84E-04	V DC
022	--	2.91E-04	V DC
023	--	2.86E-04	V DC
024	--	2.82E-04	V DC
025	--	2.80E-04	V DC
026	--	2.56E-04	V DC
027	--	2.30E-04	V DC
028	--	2.17E-04	V DC
029	--	2.14E-04	V DC
030	--	2.08E-04	V DC
031	--	2.13E-04	V DC
032	--	2.14E-04	V DC
033	--	2.12E-04	V DC
034	--	2.25E-04	V DC
035	--	2.55E-04	V DC
036	--	2.74E-04	V DC
037	--	2.85E-04	V DC
038	--	2.91E-04	V DC
039	--	2.77E-04	V DC
040	--	2.47E-04	V DC
041	--	2.28E-04	V DC
042	--	2.25E-04	V DC
043	--	2.31E-04	V DC
044	--	2.45E-04	V DC
045	--	2.55E-04	V DC
046	--	2.64E-04	V DC
047	--	2.69E-04	V DC
048	--	2.73E-04	V DC
049	--	2.69E-04	V DC
050	--	2.67E-04	V DC
051	--	2.70E-04	V DC
052	--	2.59E-04	V DC
053	--	2.34E-04	V DC
054	--	2.07E-04	V DC
055	--	1.35E-03	V DC
056	--	9.17E-04	V DC
057	--	7.27E-04	V DC
058	--	7.80E-04	V DC
059	--	9.46E-04	V DC
060	--	1.07E-03	V DC
061	--	1.78E-03	V DC
062	--	1.98E-03	V DC
063	--	2.24E-03	V DC
064	--	2.62E-03	V DC
065	--	2.88E-03	V DC
066	--	2.96E-03	V DC
067	--	2.66E-03	V DC
068	--	3.01E-03	V DC
069	--	3.67E-03	V DC
070	--	3.58E-03	V DC
071	--	4.42E-03	V DC
072	--	4.87E-03	V DC
073	--	2.25E-03	V DC
074	--	2.56E-03	V DC
075	--	2.42E-03	V DC
076	--	2.36E-03	V DC
077	--	2.48E-03	V DC
078	--	2.69E-03	V DC
079	--	2.64E-03	V DC
080	--	2.50E-03	V DC
081	--	2.51E-03	V DC
082	--	2.30E-03	V DC
083	--	2.33E-03	V DC
084	--	2.16E-03	V DC
085	--	2.35E-03	V DC
086	--	2.40E-03	V DC
087	--	1.52E-03	V DC
088	--	1.82E-03	V DC
089	--	3.87E-03	V DC
090	--	3.55E-03	V DC
091	--	3.33E-03	V DC
092	--	3.03E-03	V DC
093	--	1.22E-03	V DC
094	--	7.03E-04	V DC
095	--	7.80E-04	V DC
096	--	8.88E-04	V DC
097	--	8.41E-04	V DC
098	--	6.37E-04	V DC
099	--	7.25E-04	V DC
100	--	9.40E-04	V DC
101	--	8.63E-04	V DC
102	--	7.92E-04	V DC
103	--	6.54E-04	V DC
104	--	7.15E-04	V DC
105	--	6.23E-04	V DC
106	--	4.82E-03	V DC
107	--	4.95E-03	V DC
108	--	5.05E-03	V DC
109	--	5.17E-03	V DC
110	--	5.27E-03	V DC
111	--	5.33E-03	V DC
112	--	5.44E-03	V DC
113	--	5.54E-03	V DC
114	--	5.66E-03	V DC
115	--	5.80E-03	V DC
116	--	5.85E-03	V DC
117	--	5.82E-03	V DC
118	--	1.79E-03	V DC
119	--	1.09E-03	V DC
120	--	1.05E-03	V DC
121	--	1.10E-03	V DC
122	--	1.14E-03	V DC
123	--	1.05E-03	V DC
124	--	1.10E-03	V DC
125	--	1.12E-03	V DC
126	--	1.07E-03	V DC
127	--	6.11E-03	V DC
128	--	6.29E-03	V DC
129	--	6.37E-03	V DC
130	--	6.22E-03	V DC
131	--	6.03E-03	V DC
132	--	5.68E-03	V DC
133	--	6.24E-03	V DC
134	--	6.14E-03	V DC
135	--	6.44E-03	V DC
136	--	6.79E-03	V DC
137	--	6.87E-03	V DC
138	--	7.42E-03	V DC
139	--	4.72E-04	V DC
140	--	7.64E-04	V DC
141	--	6.46E-04	V DC
142	--	8.54E-04	V DC
143	--	7.72E-04	V DC
144	--	7.61E-04	V DC
145	--	1.13E-03	V DC
146	--	1.74E-03	V DC
147	--	2.17E-03	V DC
148	--	1.61E-03	V DC
149	--	2.53E-03	V DC
150	--	2.08E-03	V DC
151	--	8.18E-03	V DC
152	--	4.04E-03	V DC
153	--	3.30E-03	V DC
154	--	4.39E-03	V DC
155	--	4.14E-03	V DC
156	--	2.80E-03	V DC
